item_id,b_base,delta_group1,dif_flag,dif_type
Item_01,0.943248279715138,0.6142209676809104,True,**
Item_02,1.5992425443568965,0.0,False,
Item_03,1.5709480250492802,0.0,False,
Item_04,0.8211970682959029,0.0,False,
Item_05,-1.731880207860357,0.0,False,
Item_06,1.7696313851686423,0.0,False,
Item_07,-1.1252755773892775,0.0,False,
Item_08,0.13947260988426863,0.0,False,
Item_09,0.22008953136851064,0.0,False,
Item_10,-0.43804283949715045,0.8553173053507865,True,***
Item_11,0.7008212295801636,0.5309689450465642,True,**
Item_12,1.2462113845266836,0.5465581916118744,True,**
Item_13,-1.2653314859919025,0.0,False,
Item_14,-1.625356353517695,0.43412218876737757,True,**
Item_15,-1.373211331625715,0.0,False,
Item_16,1.7199419545120456,0.0,False,
Item_17,-0.1879989393555583,0.8146697735049993,True,***
Item_18,-2.190780785507869,0.526419329729346,True,**
Item_19,-0.802379562158679,0.0,False,
Item_20,-1.913735797824216,0.0,False,
Item_21,-1.1556204177909333,0.0,False,
Item_22,0.047553546817314316,0.6527719307606245,True,***
Item_23,-2.2323796999573418,0.0,False,
Item_24,0.420063945096567,0.0,False,
Item_25,-0.412065765117767,0.0,False,
Item_26,0.504988583439686,0.0,False,
Item_27,0.0691053384802739,0.0,False,
Item_28,0.19318864844811817,0.0,False,
Item_29,-1.3891193058956244,0.0,False,
Item_30,-0.07246123961228682,0.0,False,
Item_31,-0.3165256643406753,0.0,False,
Item_32,-0.0718381840862435,0.0,False,
Item_33,1.0437697595923057,0.0,False,
Item_34,0.5531114377827416,0.0,False,
Item_35,-0.011201815866852136,0.0,False,
Item_36,0.6858104248230783,0.0,False,
Item_37,0.7485583174501801,0.0,False,
Item_38,-1.8653151662775742,0.0,False,
Item_39,1.2749986123012025,0.0,False,
Item_40,-0.34807287737656534,0.0,False,
Item_41,-0.9622135535541407,0.0,False,
Item_42,0.7800644762328651,0.7257875660885815,True,***
Item_43,0.22953025900409493,0.0,False,
Item_44,0.6067517054036294,0.0,False,
Item_45,-0.43088074859367415,0.0,False,
Item_46,0.5658733380793926,0.0,False,
Item_47,-0.3106456751876916,0.0,False,
Item_48,1.481460704731636,0.0,False,
Item_49,1.2475480474235559,0.0,False,
Item_50,1.6490175799241142,0.0,False,
Item_51,0.3794452290711215,0.566690662503454,True,**
Item_52,1.2838143439034901,0.0,False,
Item_53,-0.8547145074864255,0.0,False,
Item_54,-1.626187767136516,0.0,False,
Item_55,0.6283472967756242,0.0,False,
Item_56,0.20618888096705362,0.0,False,
Item_57,-0.15097037416099704,0.6582735921195381,True,***
Item_58,1.6835244384205763,0.0,False,
Item_59,-1.0628704207519537,0.0,False,
Item_60,-0.25323265008399537,0.7796229223133216,True,***
